bg_id,obj_tag,typ,"coord1 (ICRS,J2000/2000)",Mag_U,Mag_B,Mag_V,Mag_R,Mag_I,spec_type,a,b
10,2E 12,Sy1,00 05 59.2379634379 +16 09 49.023089304,     ~,16.51,16.40,     ~,     ~,~              ,269,1
20,Mrk 335,Sy1,00 06 19.5371542746 +20 12 10.617456059,     ~,14.19,13.85,     ~,     ~,~              ,1125,0
30,Mrk 1501,Sy1,00 10 31.0058529490 +10 58 29.505989476,     ~,15.96,15.40,12.22,     ~,~              ,656,0
40,2E 93,Sy1,00 29 13.7012280721 +13 16 03.946876800,     ~,15.70,15.41,     ~,     ~,~              ,401,0
50,QSO B0043+0354,Sy1,00 45 47.2230875166 +04 10 23.385233220,     ~,15.88,16.00,     ~,     ~,~              ,151,0
60,Mrk 1148,Sy1,00 51 54.7635184923 +17 25 58.507740633,     ~,16.44,15.96,     ~,     ~,~              ,131,0
70,Mrk 1502,Sy1,00 53 34.9326560879 +12 41 35.927159668,     ~,14.41,14.03,     ~,     ~,~              ,1057,1
80,2E 217,Sy1,00 54 52.1185254329 +25 25 38.983464017,     ~,     ~,15.42,     ~,     ~,~              ,344,0
90,Mrk 1014,Sy1,01 59 50.2529351498 +00 23 40.874250335,     ~,16.08,15.87,     ~,     ~,~              ,520,0
100,2E 1919,Sy1,08 10 58.6637281539 +76 02 42.449416413,     ~,15.03,14.71,     ~,     ~,~              ,423,0
110,MCG+13-07-002,Sy1,08 44 45.3000235915 +76 53 09.466820353,     ~,     ~,15.7,     ~,     ~,~              ,172,0
120,Ton 951,Sy1,08 47 42.4487014731 +34 45 04.483113429,     ~,14.83,14.50,     ~,     ~,~              ,429,0
130,Mrk 110,Sy1,09 25 12.8479868736 +52 17 10.386808297,     ~,16.82,16.41,     ~,     ~,~              ,522,0
140,Ton 1057,Sy1,09 25 54.7143564689 +19 54 05.065773105,     ~,16.02,15.89,     ~,     ~,~              ,154,0
150,Mrk 705,Sy1,09 26 03.2700194281 +12 44 03.727016859,     ~,15.15,14.60,     ~,     ~,~              ,285,0
160,Mrk 707,Sy1,09 37 01.0469474034 +01 05 43.750303841,     ~,16.86,16.64,     ~,     ~,~              ,125,0
170,2MASX J09504838+3926503,Sy1,09 50 48.3802745374 +39 26 50.463708894,     ~,16.83,16.73,     ~,     ~,~              ,172,0
180,PG 0953+414,Sy1,09 56 52.3930851607 +41 15 22.212153978,14.710,15.611,15.546,15.294,14.720,~              ,421,0
190,2MASS J10042013+0513004,Sy1,10 04 20.1377652635 +05 13 00.396937782,     ~,16.73,16.55,     ~,     ~,~              ,218,1
200,4C 13.41,Sy1,10 07 26.0965727406 +12 48 56.188170981,     ~,15.81,15.68,     ~,     ~,~              ,378,2
210,QSO B1011-040,Sy1,10 14 20.6737918236 -04 18 40.372348306,     ~,15.49,15.5,     ~,     ~,~              ,118,0
220,2dFGRS TGN357Z241,Sy1,10 14 54.9035683018 +00 33 37.367546308,     ~,20.23,18.94,16.104,     ~,~              ,150,0
230,Mrk 142,Sy1,10 25 31.2788890554 +51 40 34.868795739,     ~,16.33,16.12,     ~,     ~,~              ,241,0
240,2E 2340,Sy1,10 51 29.9161805242 -09 18 10.190625278,     ~,16.85,16.79,16.5,     ~,~              ,180,1
250,QSO B1048+342,Sy1,10 51 43.8919513785 +33 59 26.686941538,     ~,17.11,16.79,     ~,     ~,~              ,166,0
260,PG 1049-005,Sy1,10 51 51.4474876950 -00 51 17.709169017,     ~,15.98,15.78,     ~,     ~,~              ,154,0
270,2E 2389,Sy1,11 04 13.8613944317 +76 58 58.192391742,     ~,15.70,15.72,15.40,     ~,~              ,515,1
280,QSO B1103-006,Sy1,11 06 31.7741855481 -00 52 52.381519650,     ~,16.39,16.46,     ~,     ~,~              ,208,1
290,2MASSI J1117064+441333,Sy1,11 17 06.3986665282 +44 13 33.327898429,     ~,16.32,16.12,     ~,     ~,~              ,216,0
300,2MASSI J1118302+402553,Sy1,11 18 30.2896275867 +40 25 54.069567643,     ~,16.34,16.21,     ~,     ~,~              ,193,0
310,Ton 1388,Sy1,11 19 08.6786143504 +21 19 17.986556889,     ~,14.91,14.80,     ~,     ~,~              ,422,0
320,IC 2746,Sy2,11 21 47.1180110072 +11 44 18.908935072,     ~,15.38,14.93,     ~,     ~,~              ,203,0
330,2MASSI J1124392+420144,Sy1,11 24 39.1798727783 +42 01 45.013639656,     ~,16.45,16.28,     ~,     ~,~              ,136,0
340,Mrk 1298,Sy1,11 29 16.7289412438 -04 24 07.245397091,     ~,14.97,14.61,     ~,     ~,~              ,175,1
350,2MASX J11520354-1122242,Sy1,11 52 03.5502472437 -11 22 24.089795654,     ~,13.7,15.5,12.5,     ~,~              ,94,0
360,2MASS J11534927+1128306,Sy1,11 53 49.2708498209 +11 28 30.403108852,     ~,16.87,16.71,     ~,     ~,~              ,115,0
370,2E 2584,Sy1,12 04 42.1097577213 +27 54 11.867990165,     ~,15.64,15.60,     ~,     ~,~              ,357,0
380,PB 3894,Sy1,12 14 17.6737003918 +14 03 13.182526431,     ~,14.46,14.19,     ~,     ~,~              ,755,0
390,PG 1216+069,Sy1,12 19 20.9316038223 +06 38 38.467864632,     ~,15.68,15.65,     ~,     ~,~              ,260,0
400,3C 273,BLL,12 29 06.6996828061 +02 03 08.598846466,     ~,13.05,14.830,14.11,     ~,~              ,5406,1
410,Mrk 771,Sy1,12 32 03.6224248141 +20 09 29.495841579,     ~,15.57,15.30,     ~,     ~,~              ,444,0
420,LBQS 1244+0238,Sy1,12 46 35.2527388863 +02 22 08.784237661,     ~,16.57,16.37,     ~,     ~,~              ,261,0
430,LB 2522,Sy1,13 01 12.9251198286 +59 02 06.693745440,     ~,16.04,15.89,     ~,     ~,~              ,252,0
440,ICRF J130533.0-103319,Sy1,13 05 33.0149111397 -10 33 19.430590671,     ~,15.18,15.23,14.46,     ~,~              ,512,1
450,2E 2978,Sy1,13 09 47.0029670396 +08 19 48.215010428,     ~,16.04,15.89,     ~,     ~,~              ,350,0
460,Ton 1565,Sy1,13 12 17.7526648504 +35 15 21.087644341,     ~,15.45,15.64,14.2,     ~,~              ,248,1
470,2MASX J13130580-1107424,Sy1,13 13 05.7811787784 -11 07 42.367592509,     ~,15.48,15.15,13.4,     ~,~              ,107,0
480,2XMM J132349.6+654148,Sy1,13 23 49.5183330047 +65 41 48.166159616,     ~,16.01,15.84,     ~,     ~,~              ,155,0
490,Ton 730,Sy1,13 43 56.7433437047 +25 38 47.639948043,     ~,16.48,16.6,     ~,     ~,~              ,107,0
500,2XMM J135315.8+634546,Sy1,13 53 15.8310776491 +63 45 45.682560611,     ~,14.54,14.28,     ~,     ~,~              ,361,0
510,Mrk 662,Sy1,13 54 06.4279931034 +23 25 49.348440004,     ~,16.06,15.37,     ~,     ~,~              ,91,0
520,PB 4142,Sy1,13 54 35.6873746503 +18 05 17.504062479,     ~,16.84,16.68,     ~,     ~,~              ,201,0
530,2MASSI J1356327+210352,Sy1,13 56 32.7989546928 +21 03 52.364916739,     ~,15.85,17.07,     ~,     ~,~              ,87,0
540,Ton 182,Sy1,14 05 16.2180155773 +25 55 34.116787862,     ~,15.42,15.34,     ~,     ~,~              ,234,0
550,2MASX J14062191+2223462,Sy1,14 06 21.8899286041 +22 23 46.515082049,     ~,16.62,16.42,     ~,     ~,~              ,209,0
560,2MASS J14134834+4400141,Sy1,14 13 48.3307115344 +44 00 14.005465999,     ~,14.99,14.99,     ~,     ~,~              ,357,0
570,2MASSI J1417008+445606,Sy1,14 17 00.8223053485 +44 56 06.331286859,     ~,16.93,16.63,     ~,     ~,~              ,227,0
580,2E 3238,Sy1,14 19 03.8170384929 -13 10 44.781525412,     ~,16.46,16.10,16.50,     ~,~              ,223,0
590,Ton 202,Sy1,14 27 35.6081505943 +26 32 14.540877233,     ~,15.96,16.00,     ~,     ~,~              ,277,1
600,Mrk 1383,Sy1,14 29 06.5718492666 +01 17 06.155981953,     ~,15.21,14.87,     ~,     ~,~              ,419,0
610,2MASSI J1429430+474726,Sy1,14 29 43.0740635196 +47 47 26.215326061,     ~,17.29,16.97,     ~,     ~,~              ,157,0
620,2E 3305,Sy1,14 38 16.1631779228 -06 58 20.662522112,     ~,16.13,16.01,15.5,     ~,~              ,112,0
630,Mrk 478,Sy1,14 42 07.4713423763 +35 26 22.939531895,     ~,14.91,14.58,     ~,     ~,~              ,495,0
640,2MASSI J1446459+403505,Sy1,14 46 45.9392876678 +40 35 05.797848407,     ~,16.28,16.11,     ~,     ~,~              ,268,0
650,2MASX J14510879+2709272,Sy1,14 51 08.7649690311 +27 09 26.964855405,     ~,15.01,15.01,     ~,     ~,~              ,162,0
660,Mrk 841,Sy1,15 04 01.1935077982 +10 26 15.778741853,     ~,14.50,14.27,     ~,     ~,~              ,594,0
670,4C 37.43,Sy1,15 14 43.0682940988 +36 50 50.355363752,     ~,17.11,17.01,15.83,     ~,~              ,379,1
680,2E 1519.0+2238,Sy1,15 21 14.2570279616 +22 27 43.829185560,     ~,16.09,16.09,     ~,     ~,~              ,116,0
690,Mrk 290,Sy1,15 35 52.4036488200 +57 54 09.516647866,     ~,15.55,15.27,     ~,     ~,~              ,461,0
700,2MASX J15363770+4718266,G  ,15 36 37.691 +47 18 26.73,     ~,15.7,     ~,     ~,     ~,~              ,11,0
710,Mrk 486,Sy1,15 36 38.4013129866 +54 33 33.214684833,     ~,15.21,14.78,     ~,     ~,~              ,253,0
720,QSO B1544+4855,Sy1,15 45 30.2362003284 +48 46 08.978296070,     ~,16.92,16.73,     ~,     ~,~              ,216,0
730,2MASX J15474353+2052167,Sy1,15 47 43.5377678391 +20 52 16.613895999,     ~,16.80,16.69,15.70,     ~,~              ,454,0
740,2MASS J15544457+0822213,Sy1,15 54 44.5797394405 +08 22 21.411836511,     ~,16.38,16.16,     ~,     ~,~              ,101,0
750,Mrk 876,Sy1,16 13 57.1791807197 +65 43 09.953889666,     ~,16.03,15.49,     ~,     ~,~              ,524,0
760,Ton 256,Sy1,16 14 13.2049266694 +26 04 16.223082335,     ~,16.06,16.50,     ~,     ~,~              ,233,1
770,Mrk 877,Sy1,16 20 11.2800014833 +17 24 27.514065981,     ~,15.79,15.39,     ~,     ~,~              ,252,0
780,QSO B1626+5529,Sy1,16 27 56.1124169072 +55 22 31.559608363,     ~,15.79,15.68,     ~,     ~,~              ,189,0
790,IRAS 17002+5153,Sy1,17 01 24.8267412895 +51 49 20.447125726,     ~,15.49,15.12,     ~,     ~,~              ,361,0
800,2A 1705+609,Sy1,17 04 41.3742389551 +60 44 30.522600868,     ~,15.65,15.40,15.30,     ~,~              ,728,1
810,2MASS J21145258+0607423,Sy1,21 14 52.5774242314 +06 07 42.435724828,     ~,16.06,15.77,     ~,     ~,~              ,201,0
820,Mrk 1513,Sy1,21 32 27.8163185343 +10 08 19.250705656,     ~,14.92,14.64,     ~,     ~,~              ,553,0
830,QSO B2209+184,BLL,22 11 53.8892047549 +18 41 49.859069658,     ~,16.09,15.44,11.96,     ~,~              ,144,1
840,Mrk 304,Sy1,22 17 12.2638362727 +14 14 20.918554073,     ~,15.02,14.66,     ~,     ~,~              ,325,0
850,2E 4626,Sy1,22 36 07.6824365479 +13 43 55.360331935,     ~,16.48,16.34,     ~,     ~,~              ,141,0
860,4C 11.72,BLL,22 54 10.4213843099 +11 36 38.745749268,     ~,16.02,15.82,     ~,     ~,~              ,323,1
870,2MASX J23070290+0432567,Sy1,23 07 02.9149298268 +04 32 57.098187867,     ~,16.32,15.50,     ~,     ~,~              ,94,0
880,4C 09.72,BLL,23 11 17.7543884785 +10 08 15.754791578,     ~,16.15,16.00,     ~,     ~,~              ,183,1
================================================================================,,,,,,,,,,,,,