pgq_id,name,ra,dec,phot_bmag,pg_class
1,PG_0003+159,1.49683333,16.16361111,15.96,QSO
2,PG_0003+199,1.58141667,20.20294444,13.75,Sey
3,PG_0007+107,2.62920833,10.97486111,16.11,QSO
4,PG_0026+129,7.30708333,13.26777778,14.95,QSO
5,PG_0043+039,11.44675,4.17313889,15.88,QSO
6,PG_0044+031,11.77470833,3.33191667,15.97,QSO
7,PG_0049+172,12.97816667,17.43291667,15.88,QSO
8,PG_0050+124,13.39554167,12.69330556,14.39,Sey
9,PG_0052+252,13.71716667,25.4275,15.42,QSO
10,PG_0117+213,20.07195833,21.56286111,16.05,QSO
11,PG_0119+229,20.66908333,23.17083333,15.41,QSO
12,PG_0157+002,29.959375,0.39466667,15.2,QSO
13,PG_0804+762,122.744375,76.04513889,15.15,QSO
14,PG_0832+252,128.89920833,24.9945,15.9,QSO
15,PG_0838+771,131.18875,76.88600000000001,16.3,Sey
16,PG_0844+349,131.926875,34.75125,14.0,Sey
17,PG_0906+484,137.54170833,48.22827778,16.46,QSO
18,PG_0921+525,141.30354167,52.28625,15.62,Sey
19,PG_0923+129,141.513625,12.73436111,14.93,Sey
20,PG_0923+201,141.47799999999998,19.90141667,16.04,QSO
21,PG_0931+437,143.76058333,43.51963889,16.41,QSO
22,PG_0934+013,144.254375,1.09547222,16.29,Sey
23,PG_0935+417,144.73758333,41.47255556,16.3,QSO
24,PG_0936+396,144.93558333,39.40080556,16.3,QSO
25,PG_0946+302,147.42129167,29.92202778,16.0,QSO
26,PG_0947+397,147.701625,39.44736111,16.4,QSO
27,PG_0953+415,149.21829167,41.25616667,15.05,QSO
28,PG_1001+055,151.083875,5.21680556,16.13,QSO
29,PG_1001+292,151.01091667,28.92647222,15.67,QSO
30,PG_1004+131,151.85875,12.81561111,15.93,QSO
31,PG_1008+133,152.79525,13.07005556,16.24,QSO
32,PG_1011-041,153.58616667,-4.31119444,15.49,QSO
33,PG_1012+008,153.72875,0.56038889,15.89,QSO
34,PG_1022+519,156.38033333,51.67636111,16.12,Sey
35,PG_1048+343,162.93291667,33.99075,15.81,QSO
36,PG_1048-090,162.87466667,-9.30283333,16.0,QSO
37,PG_1049-006,162.96433333,-0.85494444,15.95,QSO
38,PG_1100+773,166.05770833,76.98283333,15.86,QSO
39,PG_1103-006,166.632375,-0.88122222,16.02,QSO
40,PG_1112+431,168.77508333,42.83025,16.2,QSO
41,PG_1114+445,169.27666667,44.22591667,16.05,QSO
42,PG_1115+080,169.570625,7.76616667,15.84,QSO
43,PG_1115+407,169.62620833,40.43166667,16.02,Sey
44,PG_1116+216,169.786125,21.32166667,15.17,QSO
45,PG_1119+120,170.44633333,11.73861111,14.65,Sey
46,PG_1121+423,171.16325,42.02919444,16.02,QSO
47,PG_1126-041,172.31970833,-4.402,15.43,QSO
48,PG_1138+041,175.318875,3.78322222,16.05,QSO
49,PG_1148+549,177.83525,54.62586111,15.82,QSO
50,PG_1149-111,178.01475,-11.37341667,15.46,Sey
51,PG_1151+118,178.45529167,11.47511111,15.51,QSO
52,PG_1202+282,181.17545833,27.90327778,15.02,QSO
53,PG_1203+355,181.45779167,35.17944444,15.88,Sey
54,PG_1206+459,182.24170833,45.6765,15.79,QSO
55,PG_1211+143,183.573625,14.05363889,14.63,QSO
56,PG_1216+069,184.83720833,6.64402778,15.68,QSO
57,PG_1222+229,186.36416667,22.58694444,15.49,QSO
58,PG_1226+023,187.27791667,2.05238889,12.86,QSO
59,PG_1229+204,188.01508333,20.15819444,14.65,Sey
60,PG_1241+176,191.04508333,17.35125,15.38,QSO
61,PG_1244+026,191.64683333,2.36902778,16.15,QSO
62,PG_1247+268,192.52379167,26.51875,15.53,QSO
63,PG_1248+401,192.70133333,39.86097222,16.06,QSO
64,PG_1254+047,194.24970833,4.45955556,15.84,QSO
65,PG_1259+593,195.30375,59.03519444,15.6,QSO
66,PG_1302-103,196.38758333,-10.55538889,15.09,QSO
67,PG_1307+086,197.44583333,8.33005556,15.28,QSO
68,PG_1309+355,198.07395833,35.25586111,15.45,QSO
69,PG_1310-109,198.274125,-11.12838889,15.55,QSO
70,PG_1322+659,200.95633333,65.69672222,15.86,QSO
71,PG_1329+413,202.921375,41.03297222,16.3,QSO
72,PG_1333+177,204.008375,17.42030556,15.64,QSO
73,PG_1338+416,205.25325,41.38725,16.08,QSO
74,PG_1341+259,205.98645833,25.64658333,15.93,Sey
75,PG_1351+237,208.52679167,23.43038889,15.87,QSO
76,PG_1351+640,208.31595833,63.76266667,15.42,QSO
77,PG_1352+011,208.74445833,0.86969444,16.03,QSO
78,PG_1352+183,208.64870833,18.08819444,15.71,QSO
79,PG_1354+213,209.13666667,21.06455556,15.85,QSO
80,PG_1358+043,210.13316667,4.08269444,16.39,QSO
81,PG_1402+262,211.31758333,25.92616667,15.57,QSO
82,PG_1404+226,211.59120833,22.39627778,15.82,QSO
83,PG_1407+265,212.349625,26.30586111,15.73,QSO
84,PG_1411+442,213.451375,44.00388889,14.99,QSO
85,PG_1415+452,214.25345833,44.93516667,15.74,QSO
86,PG_1416-129,214.76591667,-13.17908333,15.4,QSO
87,PG_1425+268,216.898375,26.53736111,15.67,QSO
88,PG_1426+015,217.27741667,1.28505556,15.05,QSO
89,PG_1427+480,217.42945833,47.79061111,16.33,QSO
90,PG_1435-068,219.56733333,-6.97236111,15.54,QSO
91,PG_1440+357,220.531125,35.43972222,15.0,QSO
92,PG_1444+408,221.69141667,40.58494444,15.95,QSO
93,PG_1448+274,222.7865,27.1575,15.01,Sey
94,PG_1501+106,226.00495833,10.43772222,15.09,QSO
95,PG_1512+370,228.67945833,36.84733333,15.97,QSO
96,PG_1519+226,230.30941667,22.46219444,16.09,QSO
97,PG_1522+102,231.10216667,9.97472222,15.74,QSO
98,PG_1534+581,233.968375,57.90266667,15.54,Sey
99,PG_1535+547,234.15991667,54.55925,15.31,Sey
100,PG_1538+478,234.895,47.59202778,16.01,QSO
101,PG_1544+489,236.37595833,48.76916667,16.05,QSO
102,PG_1545+210,236.93141667,20.87133333,16.05,QSO
103,PG_1552+085,238.68575,8.37261111,16.02,QSO
104,PG_1612+262,243.55504167,26.07119444,16.0,QSO
105,PG_1613+658,243.48820833,65.71941667,15.37,QSO
106,PG_1617+175,245.047,17.40761111,15.53,QSO
107,PG_1626+555,246.98383333,55.37541667,16.17,Sey
108,PG_1630+377,248.00466667,37.63052778,15.96,QSO
109,PG_1634+706,248.62083333,70.52566667,14.9,QSO
110,PG_1700+519,255.35341667,51.82233333,15.43,QSO
111,PG_1704+608,256.17241667,60.74180556,15.9,QSO
112,PG_1715+535,259.14820833,53.47108333,16.3,QSO
113,PG_1718+481,259.909375,48.07011111,15.33,QSO
114,PG_2112+059,318.719125,6.12847222,15.52,QSO
115,PG_2130+099,323.11591667,10.13866667,14.62,Sey
116,PG_2209+185,332.97454167,18.69722222,15.86,Sey
117,PG_2214+139,334.30108333,14.23913889,14.98,Sey
118,PG_2233+135,339.032,13.73205556,16.04,QSO
119,PG_2251+113,343.54341667,11.61075,16.25,QSO
120,PG_2302+029,346.18729167,3.19608333,16.03,QSO
121,PG_2304+043,346.76216667,4.54919444,15.44,Sey
122,PG_2308+099,347.82395833,10.13772222,16.12,QSO
123,PG_2344+092,356.6535,9.51263889,16.08,QSO
124,PG_2349-014,357.98383333,-1.15369444,15.0,QSO
